ShortIndustry,Industry,IssuedbyOrganization,Issued for Organization,Title,Tender No,ProcurementMethod,Issued Date,Amendments,ClosingDate,SuccessfulVendor,SuccessfulVendorCity,AwardTotal,DateAwarded,Province,Country,IssuedYr,ClosingYr,AwardedYr,IssuedMon,ClosingMon,AwardedMon
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",4 Modular Timber Deck Panels (Terrace),ITQ-004736,Itq,2016-02-09,0,2016-02-17,Ruskin Construction Ltd.,Prince George,"$16,284.80",2016-02-22,British Columbia,Canada,2016,2016,2016,2,2,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","Allround Automations PL/SQL Developer (Victoria, BC)",ITQ-004737,Itq,2016-02-09,0,2016-02-17,Softchoice LP,Toronto,"$11,013.01",2016-02-22,Ontario,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Resurfacing and Seismic Safety Retrofit,12543MJ0001,MOTITT,2016-02-10,3,2016-02-17,Giffels Westpro Constructors Inc,Surrey,"$1,157,616.06",2016-02-22,British Columbia,Canada,2016,2016,2016,2,2,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","GeoStudio Standard 2012 2-user (Victoria, BC)",ITQ-004741,Itq,2016-02-11,0,2016-02-18,Geo-Slope International Ltd,Calgary,"$21,284.29",2016-02-22,Alberta,Canada,2016,2016,2016,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",2 Concrete Slab Bridges (Prince George & Mackenzie),ITQ-004735,Itq,2016-02-12,1,2016-02-17,Pioneer Precast Products,Chilliwack,"$197,242.08",2016-02-22,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Seal Cracked asphalt pavement,37262MJ0000,MOTITT,2016-01-21,2,2016-02-17,Seal Tec Industries Ltd,Langley,"$388,210.20",2016-02-23,British Columbia,Canada,2016,2016,2016,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Ski-doo Tundra Snowmobile (Surrey, BC)",ITQ-004743,Itq,2016-02-12,0,2016-02-19,Greater Vancouver Powersports Inc,Surrey,"$13,500.48",2016-02-23,British Columbia,Canada,2016,2016,2016,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"CARGO TRAILER (TRAIL, BC)",ITQ-004744,Itq,2016-02-16,2,2016-02-22,Kitt Equipment Ltd.,Chilliwack,"$9,354.00",2016-02-23,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,SRFP for A Water System Checklist for Subdivisions,SRFP-ENB16014,SRFP,2016-01-14,0,2016-02-10,Kerr Wood Leidal Associates Ltd,Burnaby,"$20,000.00",2016-02-24,British Columbia,Canada,2016,2016,2016,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Solar Charge Controller Module (Victoria, BC)",ITQ-004745,Itq,2016-02-12,0,2016-02-22,Surtek Industries Inc,Surrey,"$35,723.52",2016-02-24,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"eXom Rotary Quadcopter (Victoria, BC)",ITQ-004748,Itq,2016-02-19,1,2016-02-23,Spatial Technologies Partnership Group,Calgary,"$62,787.20",2016-02-24,Alberta,Canada,2016,2016,2016,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"MOBILE HOT-WATER HIGH-PRESSURE WASHER (VERNON, BC)",ITQ-004742,Itq,2016-02-12,0,2016-02-19,Easy-Kleen Pressure Systems Ltd.,Sussex,"$141,750.00",2016-02-26,New Brunswick,USA,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"2 - Aeryon SkyRanger UAV (Victoria, BC)",ITQ-004749,Itq,2016-02-17,0,2016-02-24,Aeryon Labs Inc.,Waterloo,"$332,097.92",2016-02-26,Ontario,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H23 - Shelter Bay to Revelstoke Seal Coat,23926MJ0000,MOTITT,2016-02-18,1,2016-02-24,OK Industries Ltd,Saanichton,"$1,762,070.00",2016-02-26,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"eBee Fixed Wing RTK-UAV (Victoria, BC)",ITQ-004751,Itq,2016-02-19,1,2016-02-24,Spatial Technologies Partnership Group,Calgary,"$67,256.00",2016-02-26,Alberta,Canada,2016,2016,2016,2,2,2
Health,Health,Ministry of Health,Ministry of Health,Notice of Planned Procurement: HIAL Separation and Operation,ON-002756,NTV,2015-12-18,2,2015-12-31,N/A,N/A,$0.00,2016-02-29,N/A,N/A,2015,2015,2016,12,12,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Christine Boehringer C. Boehringer & Associates,Coquitlam,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,James G Koshure,Cranbrook,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Jean Horton WSP Canada Inc.,Cranbrook,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Trent Allen Billy Goat Adventures Ltd.,Fernie,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Robin Barnes RSB Engineering Inc.,Kelowna,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Kris Koenig WSP Canada Inc.,Kelowna,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Jeff Volp Cordillera Technical Services,Kimberley,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Gary Glinz Rangerland Consulting,Kimberley,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Trevor St. Germain C. Boehringer & Associates,North Vancouver,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Tracey Raume R.F. Binnie,Prince George,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Blake Lawson Lawson Engineering & Development Ltd.,Salmon Arm,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Matt Hunter RFB Constructors Ltd.,Vancouver,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Glenn Campbell dba Glenn Campbell Project Management,Wasa,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Bill Hayes Hayes Consulting Ltd.,West Vancouver,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Les Theisen SNT Engineering Ltd.,Nelson,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Project Management Services,ENV-BCP 003,RQU,2016-01-04,0,2016-02-04,Elise Pare WSP Canada Inc.,Rossland,$0.00,2016-02-29,British Columbia,Canada,2016,2016,2016,1,2,2
Health,Health,Ministry of Health,Ministry of Health,Two-part (RFQ – NRFP) Process: HIAL Separation and Operation,ON-002774,RQU,2016-01-19,1,2016-01-28,N/A,N/A,$0.00,2016-02-29,N/A,N/A,2016,2016,2016,1,1,2
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",South Taylor FSR Bridge Project,EN16NAN912,ITT,2016-02-04,1,2016-02-09,Iota Construction Ltd.,Chilliwack,"$141,856.00",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
GovLAW,Government and Law,Ministry of Justice,Ministry of Justice,Forensic Odontology Direc Award,JAGBCCSNOI:003-16,NOI,2016-02-15,0,2016-02-29,DR. WILLIAM (BILL) INKSTER,Vancouver,"$10,000.00",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Trimble Business Centre Software (Victoria),ITQ-004753,Itq,2016-02-17,0,2016-02-25,Cansel Survey Equipment Inc.,Burnaby,"$153,525.01",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Trimble Business Centre Software (Victoria),ITQ-004754,Itq,2016-02-17,0,2016-02-25,Cansel Survey Equipment Inc.,Burnaby,"$59,890.88",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Maptek I-Site Software (Victoria),ITQ-004755,Itq,2016-02-17,0,2016-02-26,Maptek Canada Ltd.,Burnaby,"$58,688.00",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Design/Build/Install Guardrails Gordon Bay Provincial Park,ITQ CP16NAN075,ITQ,2016-02-23,2,2016-02-26,PACIFIC INDUSTRIAL & MARINE LTD.,Duncan,"$32,625.00",2016-02-29,British Columbia,Canada,2016,2016,2016,2,2,2
COSRV,"Education, Social, and Community Services",Ministry of Children and Family Development,Ministry of Children and Family Development,Family Preservation RFP- Prince George,NR045RFP,RFP,2015-07-24,7,2015-08-10,Sources Community Resources Society,White Rock,"$379,618.00",2016-03-01,British Columbia,Canada,2015,2015,2016,7,8,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Call for Responses- British Columbia Refugee Readiness Fund,CFR-16-RRF-01,RFS,2015-12-16,5,2015-12-21,Kelowna Community Resources Society,Kelowna,"$30,000.00",2016-03-01,British Columbia,Canada,2015,2015,2016,12,12,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Call for Responses- British Columbia Refugee Readiness Fund,CFR-16-RRF-01,RFS,2015-12-16,5,2015-12-21,Immigrant and Multicultural Services Society of Prince George,Prince George,"$14,143.00",2016-03-01,British Columbia,Canada,2015,2015,2016,12,12,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Call for Responses- British Columbia Refugee Readiness Fund,CFR-16-RRF-01,RFS,2015-12-16,5,2015-12-21,DIVERSEcity Community Resources Society,Surrey,"$70,599.00",2016-03-01,British Columbia,Canada,2015,2015,2016,12,12,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Call for Responses- British Columbia Refugee Readiness Fund,CFR-16-RRF-01,RFS,2015-12-16,5,2015-12-21,MOSAIC,Vancouver,"$107,656.00",2016-03-01,British Columbia,Canada,2015,2015,2016,12,12,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Call for Responses- British Columbia Refugee Readiness Fund,CFR-16-RRF-01,RFS,2015-12-16,5,2015-12-21,Victoria Immigrant and Refugee Society,Victoria,"$52,500.00",2016-03-01,British Columbia,Canada,2015,2015,2016,12,12,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",New or Used 25' Travel Trailer (Nelson),ITQ-004712,Itq,2016-01-25,0,2016-02-02,Voyager R.V. Centre Ltd.,Lake Country,"$22,074.52",2016-03-01,British Columbia,Canada,2016,2016,2016,1,2,3
COSRV,"Education, Social, and Community Services","Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services",Valleyview Hazmat Removal,ON-002787,RQU,2016-01-25,0,2016-02-03,Enviro-Vac,Surrey,$0.00,2016-03-01,British Columbia,Canada,2016,2016,2016,1,2,3
COSRV,"Education, Social, and Community Services","Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services",Valleyview Hazmat Removal,ON-002787,RQU,2016-01-25,0,2016-02-03,Nucor Environmental,Surrey,$0.00,2016-03-01,British Columbia,Canada,2016,2016,2016,1,2,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HIGHWAY NO. 97 – SIX LANING HWY 33 TO EDWARDS ROAD,23239MJ0000,MOTITT,2016-01-27,3,2016-02-03,Emil Anderson Construction (EAC) Inc.,Kelowna,"$35,848,181.36",2016-03-01,British Columbia,Canada,2016,2016,2016,1,2,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Paving 48.5 kms of Highway 5 between Avola and Whitewater Bridge,37251MJ0000,MOTITT,2016-01-29,1,2016-02-23,Emil Anderson Construction (EAC) Inc.,Kelowna,"$5,039,315.86",2016-03-01,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Welded Wire Mesh Forms and Wire Struts (Prince George),ITQ-004747,Itq,2016-02-23,3,2016-02-25,True Blue Wire Products Inc,Surrey,"$36,982.40",2016-03-01,British Columbia,Canada,2016,2016,2016,2,2,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Seal Coating 35.8 lane km of Highway 97,37250MJ0000,MOTITT,2016-01-29,1,2016-02-25,Garcia and Sons Transfer ltd.,Fort Nelson,"$512,530.00",2016-03-02,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",One Cattleguard (Kamloops),ITQ-004758,Itq,2016-02-22,0,2016-03-01,Shic Enterprises Ltd,Merritt,"$10,360.00",2016-03-02,British Columbia,Canada,2016,2016,2016,2,3,3
GovLAW,Government and Law,Ministry of Justice,Ministry of Justice,Body Transportation for Nanaimo area,BCCS-004-16,RFP,2016-01-22,0,2016-02-15,Williamson's Transfer Services,Victoria,"$75,000.00",2016-03-03,British Columbia,Canada,2016,2016,2016,1,2,3
GovLAW,Government and Law,Ministry of Justice,Ministry of Justice,Body Transportation for the Cowichan (Duncan) area,BCCS-005-16,RFP,2016-01-22,0,2016-02-15,WILLIAMSON'S TRANSFER SERVICES,Victoria,"$35,000.00",2016-03-03,British Columbia,Canada,2016,2016,2016,1,2,3
GovLAW,Government and Law,Ministry of Justice,Ministry of Justice,Body Transportation for Comox Valley Area,BCCS-006-16,RFP,2016-01-22,0,2016-02-15,WILLIAMSON'S TRANSFER SERVICES,Victoria,"$100,000.00",2016-03-03,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"METTLER-TOLEDO ""EXCELLENCE"" TITRATOR T50 M (115V) (Victoria, BC)",ITQ-004757,Itq,2016-02-19,0,2016-02-26,Mettler-Toledo Inc.,Mississauga,"$18,640.16",2016-03-03,Ontario,Canada,2016,2016,2016,2,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Outdoor Display Cabinets (Various BC Locations),ITQ-004759,Itq,2016-02-22,0,2016-02-29,Astrographic Industries Ltd,Surrey,"$9,184.00",2016-03-03,British Columbia,Canada,2016,2016,2016,2,2,3
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Canyon View Trail Upgrades  Elk Falls Provincial Park,ITQ CP16NAN065,ITQ,2016-02-15,2,2016-02-18,PGH Consulting Services Ltd,Victoria,"$173,900.00",2016-03-04,British Columbia,Canada,2016,2016,2016,2,2,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Repairs to (2) Two Fire Camp Mobile Wash Car Units,WK16WHQ057,ITT,2016-03-02,2,2016-03-03,Falcon Camp Services Inc,Prince George,"$14,410.00",2016-03-04,British Columbia,Canada,2016,2016,2016,3,3,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Recreation Site Maintenance Contract - South Okanagan,17259-001,ITT,2016-01-04,0,2016-02-12,F.H. Forestry Ltd,Hope,"$10,107.50",2016-03-07,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Recreation Site Maintenance - North Okanagan,17259-003,ITT,2016-01-04,0,2016-02-12,H.I.S. Wildfire FS Inc.,Kamloops,"$9,077.00",2016-03-07,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,Ministry of Agriculture,Ministry of Agriculture,CAHSN Cattle and Swine Endemic Disease Surveillance,RFP AGRI 2016-01,RFP,2016-01-26,0,2016-02-19,Centre for Coastal Health,Nanaimo,"$189,924.00",2016-03-07,British Columbia,Canada,2016,2016,2016,1,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Retrofit Steel HSS Guardrail (Prince George),ITQ-004760,Itq,2016-02-22,0,2016-03-01,Ritchie Manufacturing Ltd.,Prince George,"$47,040.00",2016-03-07,British Columbia,Canada,2016,2016,2016,2,3,3
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","Omtool AccuRoute Advantage Support Renewal (Victoria, BC)",ITQ-004763,Itq,2016-02-25,0,2016-03-04,Omtool Ltd,Boston,"$13,625.38",2016-03-07,Massachusetts,USA,2016,2016,2016,2,3,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Fencing Contract in South Okanagan - FLNRO,RA16DOS011,ITT,2016-03-03,2,2016-03-07,RAY QUAEDVLIEG,Cawston,"$30,000.00",2016-03-07,British Columbia,Canada,2016,2016,2016,3,3,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Fencing Contract in South Okanagan - FLNRO,RA16DOS012,ITT,2016-03-03,2,2016-03-07,CHRIS WELLMAN,Vernon,"$30,000.00",2016-03-07,British Columbia,Canada,2016,2016,2016,3,3,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Corporate Leadership Training Request for Proposals,IMTARC01LEADERSHIP,RFP,2015-12-15,2,2016-01-15,Achieveblue Corporation,Etobicoke,"$50,000.00",2016-03-08,Ontario,Canada,2015,2016,2016,12,1,3
Culture,"Art, Culture, and Tourism","Ministry of Jobs, Tourism and Skills Training","Ministry of Jobs, Tourism and Skills Training",Corporate Training Strategic Business Planning,IMTARC02SBP,RFQ,2015-12-15,2,2016-01-15,Project7 Consultancy Ltd.,Toronto,"$35,500.00",2016-03-08,Ontario,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Randstad Technologies Inc (March 8, 2016)",Victoria,"$195,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,Gordon William Bonwick,Victoria,"$100,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Leading Matters Consulting Inc (March 8, 2016)",Victoria,"$150,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"0926064 BC Ltd (Mar 3, 2016)",Victoria,"$50,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Project Faktory Consulting Group (May 10, 2016)",Victoria,"$82,500.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"JS ARgue and Associates Ltd (May 10, 2016)",Victoria,"$175,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,Sierra Systems Group Inc,Victoria,"$130,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Quartech Systems Ltd (October 27, 2016)",Victoria,"$85,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Quartech Systems Ltd (December 14, 2016)",Victoria,"$250,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Quartech Systems Ltd (December 12, 2016)",Victoria,"$300,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"SDRJ Consulting Ltd (June 8, 2016)",Victoria,"$200,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Professional Services for IM/IT Initiatives,TRAN-IMB-RFQ20150103,RQU,2015-12-21,4,2016-01-04,"Quartech Systems Ltd (July 28, 2016)",Victoria,"$120,000.00",2016-03-08,British Columbia,Canada,2015,2016,2016,12,1,3
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Competition in the BC Extended Producer Responsibility Program,RFPPA16JHQ-033,RFP,2016-01-26,0,2016-02-23,Corporate Policy Group LLP,Squamish,"$15,750.00",2016-03-08,British Columbia,Canada,2016,2016,2016,1,2,3
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Carlson Survery Software (Victoria, BC)",ITQ-004752,Itq,2016-02-17,0,2016-02-25,Spatial Technologies Partnership Group,Richmond,"$23,320.74",2016-03-08,British Columbia,Canada,2016,2016,2016,2,2,3
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"INDUCTIVELY COUPLED PLASMA, MASS SPECTROMETER SYSTEM (Victoria)",ITQ-004768,Itq,2016-03-01,0,2016-03-07,Agilent Technologies Canada Inc.,Mississauga,"$144,323.23",2016-03-08,Ontario,Canada,2016,2016,2016,3,3,3
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Recreation Site Maintenance - Central Okanagan,17259-002,ITT,2016-01-04,0,2016-02-12,Devco Industries Ltd,Vernon,"$7,720.00",2016-03-09,British Columbia,Canada,2016,2016,2016,1,2,3
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Equipment Rental Rate Guide Review & Cost of Ownership Survey,CMB BB 2015-16,SRFP,2016-01-11,1,2016-01-29,Logistics Solution Builders Inc,Calgary,"$55,000.00",2016-03-09,Alberta,Canada,2016,2016,2016,1,1,3
